,drug,ndc,route,count
575,NiCARdipine IV,10122032510,IV DRIP,4415
576,Tuberculin Protein,49281075221,ID,4413
577,Dexamethasone,00054817625,PO,4406
578,Furosemide,36000028325,IV,4400
579,Levothyroxine Sodium,00074434113,PO/NG,4386
580,Gabapentin,00904563261,PO/NG,4373
581,Carvedilol,51079093020,PO/NG,4352
582,Fexofenadine,51079052920,PO,4350
583,Dexamethasone,00054817525,PO,4335
584,Diltiazem Extended-Release,00258368790,PO,4325
585,Haloperidol,63323047401,IM,4319
586,MetRONIDAZOLE (FLagyl),51079012620,PO,4314
587,Clonazepam,51079088120,PO/NG,4306
588,Potassium Chloride (Powder),00603155404,PO/NG,4279
589,Venlafaxine XR,00008083303,PO,4271
590,Gabapentin,68084078301,PO/NG,4251
591,Lisinopril,68084019801,PO/NG,4246
592,Metoprolol Succinate XL,68084030301,PO,4237
593,Multivitamins W/minerals,00904549213,PO/NG,4232
594,Haloperidol,55390014710,IV,4227
595,Albuterol-Ipratropium,00597001314,IH,4214
596,Losartan Potassium,00781570192,PO/NG,4214
597,Allopurinol,62584071301,PO/NG,4212
598,Captopril,51079086320,PO/NG,4212
599,PredniSONE,00054872425,PO,4202
600,Enoxaparin Sodium,00075062280,SC,4201
601,OxyCODONE SR (OxyconTIN),59011041020,PO,4188
602,Levothyroxine Sodium,00074706811,PO/NG,4169
603,PHENYLEPHrine,76014000410,IV DRIP,4168
604,Metoprolol Succinate XL,68084067301,PO,4166
605,Acetaminophen-Caff-Butalbital,00143178701,PO,4165
606,Neutra-Phos,17314931102,PO,4136
607,Gabapentin,68084077401,PO/NG,4128
608,OxyCODONE (Immediate Release),66689040150,PO/NG,4122
609,Warfarin,00056017675,PO,4117
610,Sodium Bicarbonate,00409663734,IV,4114
611,Ciprofloxacin IV,00409477750,IV,4102
612,LORazepam,51079038620,PO/NG,4087
613,Digoxin,24987024256,PO/NG,4085
614,CeftriaXONE,00338500341,IV,4078
615,Lidocaine 1% (For PICC/Midline Insertions),00409471302,SC,4074
616,BuPROPion (Sustained Release),00591083960,PO,4073
617,Metoprolol Succinate XL,00186109039,PO,4073
618,OLANZapine (Disintegrating Tablet),50268061513,PO,4062
619,Insulin (Regular) for Hyperkalemia,00002821501,IV,4055
620,Diltiazem,51079074620,PO/NG,4053
621,OxycoDONE (Immediate Release) ,66689040150,PO/NG,4049
622,Prochlorperazine,23155029442,IV,4028
623,Atorvastatin,00071015740,PO/NG,3996
624,Daptomycin,67919001101,IV,3991
625,Metoprolol Succinate XL,68084030401,PO,3970
626,Atorvastatin,51079021020,PO/NG,3967
627,LaMOTrigine,00093046301,PO/NG,3964
628,Lidocaine 1%,00409427601,SC,3959
629,Lidocaine 1% (For PICC/Midline Insertions),63323049257,SC,3958
630,0.9% Sodium Chloride,00338004938,IVPCA,3953
631,Pregabalin,00071101268,PO/NG,3952
632,Levofloxacin,50458093010,PO/NG,3939
633,Ezetimibe,66582041428,PO,3924
634,Sodium Phosphate,63323017015,IV,3911
635,Hydrochlorothiazide,16729018201,PO/NG,3897
636,Pravastatin,68084050201,PO,3894
637,Diazepam,51079028520,PO,3891
638,Heparin (Hemodialysis),63323054011,IV,3886
639,Omeprazole,60505006500,PO,3886
640,Potassium Chl 40 mEq / 1000 mL NS,00338080704,IV,3884
641,Enoxaparin Sodium,63323056887,SC,3880
642,Ursodiol,00591315901,PO,3880
643,Norepinephrine,00703115303,IV DRIP,3878
644,Ondansetron ODT,00093730165,PO/NG,3863
645,Mycophenolate Mofetil,00378447201,PO,3855
646,Neostigmine,63323038310,IV,3848
647,QUEtiapine Fumarate,68084053001,PO/NG,3839
648,Methadone,00054855424,PO/NG,3835
649,OxycoDONE Liquid,66689040150,PO/NG,3832
650,Potassium Chloride Replacement (Critical Care and Oncology) ,68084052401,PO,3820
651,Azithromycin,59762306003,PO/NG,3798
652,Vasopressin,63323030201,IV DRIP,3786
653,Guaifenesin-Dextromethorphan,00121063810,PO/NG,3778
654,Carvedilol,51079077120,PO/NG,3774
655,Fluconazole,00172541310,PO/NG,3769
656,PHENYLEPHrine,71019028507,IV DRIP,3754
657,5% Dextrose,00338001738,IV DRIP,3745
658,Labetalol,00409226720,IV,3745
659,Levothyroxine Sodium,63323064907,IV,3742
660,Simethicone,63739022510,PO/NG,3733
661,Fluticasone-Salmeterol Diskus (500/50) ,00173069704,IH,3732
662,Midazolam,10019002804,IV,3725
663,HYDROmorphone (Dilaudid),76045000905,IV,3717
664,Oxybutynin,00904282161,PO,3700
665,Gastroview (Diatrizoate Meglumine & Sodium),00019481604,PO/NG,3682
666,Amiodarone,51079090620,PO,3666
667,Magnesium Sulfate,44567042024,IV,3654
668,Lorazepam,51079038620,PO,3647
669,OLANZapine (Disintegrating Tablet),00002445385,PO,3642
670,Torsemide,00004026449,PO,3639
671,PHENYLEPHrine,00409180001,IV DRIP,3637
672,Midazolam,10019002710,IV DRIP,3636
673,HYDROmorphone (Dilaudid),76045000910,IV,3629
674,Lisinopril,00591040701,PO,3628
675,MetroNIDAZOLE,42292000120,PO/NG,3602
676,Tamsulosin,00597005801,PO,3600
677,LORazepam,63739050010,PO/NG,3585
678,Aspirin,00536100836,PO/NG,3567
679,Anti-Thymocyte Globulin (Rabbit),58468008001,IV,3555
680,Epoetin Alfa,55513026710,IV,3546
681,Dexmedetomidine,00409163802,IV,3543
682,Potassium Chloride Replacement (Oncology),00456066270,PO,3535
683,TraZODone,00904399161,PO/NG,3534
684,Haloperidol,67457042612,IV,3528
685,Acyclovir,63323010510,IV,3527
686,Influenza Virus Vaccine,58160087346,IM,3522
687,Metoclopramide,00182178989,PO/NG,3522
688,Losartan Potassium,00006095128,PO/NG,3486
689,Creon 12,00032121201,PO/NG,3482
690,Insulin Glargine  (CVICU Protocol),00088222033,SC,3480
691,Latanoprost 0.005% Ophth. Soln.,61314054701,BOTH EYES,3476
692,DiphenhydrAMINE,00121048910,PO/NG,3471
693,D5W,00338001704,IV,3469
694,Multivitamin IV,66591018442,IV,3466
695,Vasopressin,42023016425,IV DRIP,3464
696,Sulfameth/Trimethoprim SS,53746027101,PO,3461
697,Levofloxacin,00904635361,PO/NG,3459
698,CefePIME,60505614604,IV,3457
699,Acetylcysteine 20%,00517760425,NEB,3451
700,LORazepam,69315090401,PO/NG,3448
701,QUEtiapine Fumarate,00904627861,PO/NG,3441
702,Duloxetine,00002324033,PO,3440
703,Insulin,00002821501,IV,3438
704,Nystatin Oral Suspension,66689003750,PO,3434
705,PredniSONE,00054001920,PO/NG,3432
706,Sertraline,00172567310,PO/NG,3412
707,Dermoplast Spray,63029850401,TP,3410
708,Vancomycin,67457033950,IV,3398
709,Digoxin,00641141035,IV,3391
710,MethylPREDNISolone Sodium Succ,63323025803,IV,3390
711,Sodium Bicarbonate,66553000801,PO,3389
712,LORazepam,00904600761,PO/NG,3384
713,Micafungin,00469321110,IV,3384
714,PHENObarbital Alcohol Withdrawal Dose Taper (Days 2-7),00603150858,PO/NG,3378
715,Dexamethasone,00054817625,PO/NG,3374
716,Ketorolac,00409379349,IV,3370
717,Docusate Sodium,50383077111,PO/NG,3366
718,Atovaquone Suspension,00173054700,PO/NG,3364
719,Nicotine Patch,00766145010,TD,3360
720,Clonazepam,57664027408,PO/NG,3359
721,Captopril,00904504561,PO/NG,3352
722,Vancomycin Oral Liquid,00409651001,PO/NG,3352
723,Torsemide,68084053901,PO,3350
724,Midazolam,00409230517,IV BOLUS,3347
725,Atorvastatin,00904629304,PO/NG,3343
726,Mupirocin Nasal Ointment 2%,00029152611,NU,3341
727,Rosuvastatin Calcium,00310075590,PO,3340
728,Baclofen,00904336561,PO/NG,3337
729,HydrOXYzine,50111030801,PO/NG,3310
730,Phytonadione,25010040515,PO/NG,3300
731,Piperacillin-Tazobactam,00206886002,IV,3298
732,Gabapentin,63739037610,PO/NG,3292
733,Ketorolac,47781058468,IV,3280
734,OxycoDONE (Immediate Release) ,00406851501,PO/NG,3280
735,Aspirin,00574703412,PR,3277
736,MethylPREDNISolone Sodium Succ,00009004722,IV,3268
737,Cepastat (Phenol) Lozenge,49452521001,PO,3265
738,Tacrolimus,00469060773,PO,3247
739,Atorvastatin,00071015640,PO/NG,3242
740,Potassium Chl 20 mEq / 1000 mL D5NS,00338080304,IV,3241
741,ALPRAZolam,00904585861,PO/NG,3232
742,Atenolol,51079075920,PO,3222
743,DOPamine,00338100702,IV DRIP,3222
744,Oxycodone SR (OxyconTIN),59011010320,PO,3220
745,Atorvastatin,68084009701,PO/NG,3215
746,D5W,00338001702,IV DRIP,3213
747,Docusate Sodium (Liquid),00121054410,NG,3204
748,HYDROmorphone (Dilaudid),00074241612,PO/NG,3204
749,Metoprolol,51079025520,PO,3199
750,LevETIRAcetam,00143967325,IV,3198
751,Albuterol Inhaler,00173068220,IH,3197
752,Fludrocortisone Acetate,00115703301,PO,3197
753,Digoxin,00173024256,PO/NG,3193
754,Atorvastatin,00071015540,PO,3191
755,Tizanidine,57664050289,PO/NG,3191
756,Levofloxacin,00045152010,PO,3185
757,DiphenhydrAMINE,00121048910,PO,3183
758,Diltiazem Extended-Release,00258368890,PO,3179
759,Quetiapine Fumarate,00310027539,PO,3178
760,Ondansetron ODT,68462015713,PO/NG,3168
761,Calcitriol,00054000725,PO,3167
762,Artificial Tears Preserv. Free,00023050601,BOTH EYES,3161
763,HydrALAzine,62584073301,PO/NG,3161
764,Lorazepam,00904150061,PO/NG,3158
765,Naloxone,00409121201,IV,3153
766,Fluticasone-Salmeterol Diskus (250/50) ,00173069602,IH,3141
767,Polyethylene Glycol,51991045757,PO,3140
768,Lactulose,45963043963,PO/NG,3122
769,CefTRIAXone,00338500241,IV,3112
770,Gabapentin,60505011200,PO/NG,3112
771,Colchicine,64764011907,PO/NG,3102
772,Loratadine,68084024801,PO,3097
773,HYDROmorphone,59011044225,ED,3095
774,Diazepam,51079028420,PO/NG,3091
775,Midodrine,00245021201,PO,3090
776,Carbidopa-Levodopa (25-100),51079075620,PO/NG,3086
777,Lidocaine 1%,63323020110,ID,3074
778,Rivaroxaban,50458057910,PO/NG,3071
779,LevETIRAcetam,00904605261,PO,3062
780,CefTAZidime,44567023610,IV,3061
781,Apixaban,00003089331,PO/NG,3058
782,Ketorolac,63323016201,IV,3058
783,Metolazone,51079002320,PO,3053
784,Amlodipine,68084025901,PO/NG,3049
785,Emtricitabine-Tenofovir (Truvada),61958070101,PO,3045
786,Ibuprofen,00904174861,PO,3038
787,Ciprofloxacin HCl,00172531110,PO/NG,3025
788,Sulfameth/Trimethoprim DS,00904272561,PO,3025
789,Cyanocobalamin,10135033063,PO/NG,3019
790,Insulin Regular Human (U-500),00002850101,SC,3018
791,NS,00338004938,IV,3012
792,HydrALAzine,68084044701,PO/NG,3005
793,Isosorbide Dinitrate,00781155613,PO/NG,2996
794,CefTRIAXone,00781320895,IV,2986
795,Azithromycin,60687028201,PO/NG,2985
796,Acyclovir,00093894393,PO/NG,2984
797,OxyCODONE SR (OxyconTIN),59011042020,PO,2983
798,Lisinopril,00172375910,PO/NG,2982
799,Ciprofloxacin HCl,68084006901,PO/NG,2970
800,NIFEdipine CR,00093527201,PO,2961
801,Mupirocin Ointment 2%,51672131200,NU,2957
802,Chlorhexidine Gluconate 0.12% Oral Rinse,17856200205,ORAL,2951
803,Enoxaparin Sodium,00703854023,SC,2951
804,Timolol Maleate 0.5%,61314022705,BOTH EYES,2948
805,Chlorthalidone,51079005820,PO/NG,2930
806,OxyCODONE (Immediate Release),00406055262,PO,2923
807,Torsemide,50111091701,PO,2905
808,Scopolamine Patch,10019055302,TD,2894
809,Atenolol,00591577710,PO,2893
810,MetroNIDAZOLE,68084096601,PO/NG,2887
811,Oxytocin,61553074004,IV DRIP,2880
812,Potassium Chloride Replacement (Critical Care and Oncology) ,00574027511,PO,2880
813,Latanoprost 0.005% Ophth. Soln.,00013830304,BOTH EYES,2879
814,Isosorbide Mononitrate (Extended Release),58177023811,PO,2876
815,Ampicillin-Sulbactam,00641611710,IV,2868
816,Furosemide,36000028225,IV,2865
817,Glycopyrrolate,00517460525,IV,2862
818,Montelukast,68084062001,PO/NG,2862
819,Heparin Flush (1000 units/mL),63323054011,DWELL,2858
820,Allopurinol,62584098801,PO/NG,2857
821,HydrALAZINE,62584073301,PO/NG,2857
822,Mupirocin Ointment 2%,45802011222,NU,2852
823,5% Dextrose,00338001711,IV,2848
824,Haloperidol,51079073320,PO,2846
825,Ciprofloxacin HCl,00172531210,PO/NG,2844
826,Artificial Tear Ointment,00023031204,BOTH EYES,2839
827,Azithromycin,00904640506,PO/NG,2835
828,Torsemide,31722053101,PO/NG,2820
829,Citrate Dextrose 3% (ACD-A) CRRT,00942064104,DIALYS,2817
830,NORepinephrine,70092903505,IV DRIP,2813
831,Brimonidine Tartrate 0.15% Ophth.,00023917705,BOTH EYES,2803
832,Hydroxyurea,68084028401,PO,2796
833,CeftriaXONE,00781320895,IV,2787
834,Ranitidine,68094020462,NG,2774
835,Cinacalcet,55513007330,PO,2772
836,Lactulose Enema,00603137859,PR,2769
837,Magnesium Oxide,00165002241,PO,2768
838,GuaiFENesin,00121174410,PO/NG,2766
839,Acetylcysteine 20%,00517760425,PO,2761
840,Meclizine,51079008920,PO,2760
841,Morphine Sulfate,00409126130,IV,2753
842,Epoetin Alfa,55513012610,IV,2752
843,Hydrocortisone Na Succ.,00009001103,IV,2749
844,Propranolol,00904041161,PO/NG,2745
845,Colchicine,00143120101,PO/NG,2717
846,Ranitidine,65162025310,PO/NG,2712
847,Lisinopril,68084019601,PO/NG,2708
848,Ferrous Sulfate,00904759161,PO/NG,2703
849,Chlorothiazide Sodium,63323065820,IV,2699
850,Amiodarone,00143987510,IV,2690
851,Readi-Cat 2 (Barium Sulfate 2% Suspension),32909071103,PO/NG,2688
852,Ipratropium Bromide Neb,00487980101,IH,2687
853,Oxymetazoline,00904571135,NU,2682
854,Tacrolimus,16729004201,PO,2679
855,Lisinopril,60687033301,PO/NG,2676
856,Atorvastatin,00071015640,PO,2674
857,Azithromycin,68084027801,PO/NG,2674
858,CycloSPORINE (Neoral) MODIFIED,00078024615,PO,2671
859,Amlodipine,51079045020,PO/NG,2664
860,Clindamycin,00409419701,IV,2660
861,Piperacillin-Tazobactam Na,00206886202,IV,2646
862,5% Dextrose,00338001710,IV,2619
863,Docusate Sodium,63739047810,PO/NG,2617
864,CloNIDine,51079029920,PO,2613
865,Dexmedetomidine,16729023993,IV DRIP,2611
866,ValGANCIclovir,31722083260,PO,2611
867,Albuterol Inhaler,59310057920,IH,2608
868,Isosorbide Mononitrate (Extended Release),62175011937,PO,2605
869,Phenytoin Sodium,00641049325,IV,2600
870,Guaifenesin-CODEINE Phosphate,00121177510,PO/NG,2583
871,Clonazepam,51079088120,PO,2575
872,Glycopyrrolate,00143968125,IV,2573
873,Fluticasone-Salmeterol Diskus (100/50),00173069504,IH,2571
874,Tizanidine,49884078253,PO/NG,2570
875,Albumin 5% (25g / 500mL),44206031050,IV,2564
876,Acetaminophen,00182845389,PO/NG,2561
877,Atorvastatin,00071015740,PO,2560
878,Calcitriol,00093065701,PO,2555
879,Bisacodyl,00536135501,PR,2552
880,Cetirizine,00904585261,PO,2543
881,MethylPREDNISolone Sodium Succ,00009011319,IV,2538
882,Aluminum-Magnesium Hydrox.-Simethicone,00067033062,PO,2536
883,Acetaminophen (Liquid),00121197100,PO/NG,2528
884,Escitalopram Oxalate,68084061701,PO/NG,2525
885,Montelukast Sodium,00006011728,PO/NG,2511
886,Metoprolol Tartrate,00904777261,PO,2507
887,Sertraline,68084018101,PO/NG,2503
888,GuaiFENesin,00121148800,PO/NG,2501
889,Torsemide,50111091801,PO/NG,2500
890,Enoxaparin Sodium,00075062300,SC,2499
891,5% Dextrose (EXCEL BAG),00264751010,IV DRIP,2494
892,Citalopram,00904608461,PO/NG,2494
893,Enoxaparin Sodium,00075062160,SC,2481
894,Citalopram Hydrobromide,60505251903,PO/NG,2477
895,Nitroglycerin SL,00071041813,SL,2473
896,Nephrocaps,00187526802,PO/NG,2472
897,Dexmedetomidine,00409166010,IV DRIP,2470
898,Prochlorperazine,51079054120,PO,2465
899,Lactated Ringers,00409795309,IV,2462
900,PredniSONE,00054001920,PO,2461
901,Latanoprost 0.005% Ophth. Soln.,00517083001,BOTH EYES,2459
902,Metoclopramide,54868416700,IV,2459
903,Sucralfate,51079087120,PO/NG,2456
904,Lorazepam,00904598061,PO,2446
905,Thiamine,51645090599,PO/NG,2443
906,Multivitamins,00245008201,PO,2437
907,Losartan Potassium,68084034601,PO/NG,2435
908,Clonazepam,57664027408,PO,2433
909,Haloperidol,51079073420,PO,2420
910,Metoclopramide,00904107061,PO,2420
911,Levofloxacin,00045006601,IV,2419
912,Famotidine,63739064510,PO/NG,2416
913,Pantoprazole,55150020210,IV,2410
914,Valsartan,00078035906,PO/NG,2409
915,PNEUMOcoccal Vac Polyvalent,00006494300,IM,2406
916,D10W,00338002304,IV,2402
917,Escitalopram Oxalate,00456201063,PO,2402
918,Meropenem,63323050830,IV,2400
919,QUEtiapine Fumarate,00904663861,PO/NG,2399
920,Atorvastatin,00071015540,PO/NG,2398
921,Thiamine,00182004701,PO,2398
922,Gabapentin,68084008165,PO/NG,2397
923,D5W,00338001702,IV,2396
924,LeVETiracetam,00143967310,IV,2380
925,Enoxaparin Sodium,00075062041,SC,2372
926,Naloxone,00409121501,IV,2369
927,Vitamin D,64980015701,PO/NG,2368
928,amLODIPine,00904636961,PO/NG,2367
929,Allopurinol,51079020620,PO/NG,2363
930,Morphine Sulfate,00409606211,IV DRIP,2354
931,CefePIME,00338130148,IV,2343
932,Glycopyrrolate,10019001617,IV,2334
933,Heparin Flush (100 units/ml),08290306513,IV,2329
934,Scopolamine Patch,10019055302,TP,2328
935,Oxycodone SR (OxyconTIN),59011010020,PO,2327
936,Ondansetron,00143989001,IV,2306
937,GuaiFENesin ER,68084057201,PO,2305
938,Piperacillin-Tazobactam,00206885516,IV,2300
939,Ferric Gluconate,00143957010,IV,2297
940,MethylPREDNISolone Sodium Succ,55390020910,IV,2288
941,Morphine Sulfate,61553018348,IVPCA,2282
942,Cyanocobalamin,87701071218,PO/NG,2280
943,5% Dextrose,00338001711,IV DRIP,2277
944,Heparin,00641040012,IV,2269
945,Filgrastim,55513053010,SC,2264
946,Levothyroxine Sodium,00074662411,PO,2261
947,Azithromycin,59762306003,PO,2252
948,Loperamide,51079069020,PO/NG,2251
949,Phenytoin Sodium,00143988125,IV,2251
950,Epoetin Alfa,55513014810,IV,2246
951,Atorvastatin,00071015823,PO/NG,2239
952,Labetalol,00904592961,PO/NG,2234
953,OLANZapine,00002411533,PO,2234
954,TraMADOL (Ultram),51079099120,PO,2233
955,Levofloxacin,50458092510,PO/NG,2232
956,Atorvastatin,00071015823,PO,2221
957,HydrALAzine,00182055489,PO/NG,2219
958,Fentanyl Citrate,00641602725,IV,2214
959,Hydrochlorothiazide,63739012810,PO/NG,2214
960,Propofol,63323029730,IV DRIP,2208
961,Amlodipine,51079045120,PO,2203
962,Topiramate (Topamax),00093015506,PO/NG,2200
963,Fentanyl Citrate,00409909422,IV,2194
964,PredniSONE,63739058810,PO/NG,2190
965,Meropenem,63323050720,IV,2184
966,NS,00338004938,IV DRIP,2172
967,Tacrolimus,00469065773,PO,2172
968,Isosorbide Dinitrate,00904215461,PO/NG,2169
969,LORazepam,00904600861,PO/NG,2168
970,Oxazepam,62584081301,PO,2166
971,Senna,00034180080,PO/NG,2164
972,Hydrocortisone Na Succ.,00009090020,IV,2163
973,Levofloxacin,00045152510,PO,2155
974,Daptomycin,63323087115,IV,2154
975,Mirtazapine,00052010730,PO/NG,2153
976,Allopurinol,51079020520,PO,2138
977,Lansoprazole Oral Disintegrating Tab,00781573413,PO/NG,2132
978,LeVETiracetam,68084033701,PO,2132
979,Epoetin Alfa,59676031001,IV,2126
980,Ondansetron ODT,00093730165,PO,2121
981,Cefpodoxime Proxetil,00781543820,PO/NG,2118
982,Bacitracin Ointment,00168001135,TP,2116
983,Ursodiol,60687010001,PO,2112
984,LeVETiracetam,14789040005,IV,2104
985,Baclofen,68084085501,PO/NG,2100
986,Calcium Gluconate,44567062124,IV,2100
987,OLANZapine (Disintegrating Tablet),55111026281,PO,2096
988,EPINEPHrine,00409724101,IV DRIP,2095
989,Zinc Sulfate,00731040106,PO/NG,2095
990,Morphine Sulfate,76045000410,IV,2091
991,Loperamide,51079069020,PO,2090
992,Caphosol,08489800001,ORAL,2082
993,Epoetin Alfa,59676030301,IV,2069
994,Meperidine,00409117630,IV,2061
995,HydrALAzine,17478093415,IV,2057
996,Sodium Chloride 3% Inhalation Soln,00378699789,NEB,2057
997,Dexmedetomidine,42023014625,IV DRIP,2054
998,Omeprazole,68084012801,PO,2054
999,Phenylephrine,00409180001,IV DRIP,2052
1000,Phenytoin Sodium Extended,00071036940,PO,2044
1001,Simethicone,57896079101,PO/NG,2043
1002,Nystatin Oral Suspension,00121478505,PO,2042
1003,Furosemide,51079052720,PO,2041
1004,Simethicone,37205011278,PO,2041
1005,Morphine Sulfate,61553018352,IVPCA,2040
1006,Morphine Sulfate IR,00054023524,PO,2039
1007,Lorazepam,51079041720,PO,2037
1008,Cholestyramine,49884046565,PO,2027
1009,Neostigmine,00703270403,IV,2025
1010,Diazepam,51079028620,PO,2023
1011,MetFORMIN (Glucophage),00904632661,PO/NG,2023
1012,Ondansetron,00904655161,PO/NG,2021
1013,Gentamicin,00338050941,IV,2013
1014,Mannitol 20 %,00338035703,IV,2009
1015,Calcium Replacement (Oncology),63323031110,IV,2005
1016,Haloperidol,25021080601,IV,2000
1017,Alendronate Sodium,00006003121,PO,1999
1018,Furosemide,51079007220,PO,1988
1019,HydrALAZINE,17478093415,IV,1986
1020,Gentamicin Sulfate,54868410300,IV,1985
1021,Calcium Acetate,68084047901,PO/NG,1983
1022,Docusate Sodium,00121054410,NG,1980
1023,TraMADol,57664037708,PO,1978
1024,Levofloxacin,50458016601,IV,1977
1025,Nicotine Patch,37205036174,TD,1977
1026,Ciprofloxacin HCl,00172531110,PO,1976
1027,Digoxin,00173024256,PO,1971
1028,QUEtiapine Fumarate,00904627961,PO/NG,1969
1029,Linezolid,00009514001,IV,1965
1030,Metoprolol Tartrate,47781058717,IV,1963
1031,Fentanyl Citrate,17478003002,IV,1962
1032,Ibuprofen,68084070301,PO,1959
1033,Phytonadione,25010040515,PO,1959
1034,Syringe,08290002191,SC,1953
1035,0.9% Sodium Chloride,00338004901,IV,1952
1036,MethylPREDNISolone Sodium Succ,00009019016,IV,1951
1037,Divalproex (EXTended Release),51079076708,PO,1950
1038,Zonisamide,68084018301,PO,1949
1039,Carvedilol,51079093120,PO,1945
1040,Spironolactone,51079010320,PO,1945
1041,Hydrocerin,54162060002,TP,1930
1042,Prenatal Vitamins,00904531360,PO,1930
1043,Metoclopramide,54868003404,PO/NG,1928
1044,Nafcillin,00338101948,IV,1927
1045,Midazolam,10019002803,IV,1926
1046,Mirtazapine,51079008620,PO,1922
1047,BusPIRone,51079098620,PO,1919
1048,Levothyroxine Sodium,00074518211,PO,1918
1049,0.9% Sodium Chloride,00409798361,IV,1917
1050,Hydroxychloroquine Sulfate,00378037301,PO/NG,1917
1051,Golytely,00091440123,PO,1915
1052,Multivitamins,50383068304,PO/NG,1914
1053,QUEtiapine Fumarate,67877024201,PO/NG,1910
1054,Vitamin B Complex,00536478701,PO/NG,1908
1055,Methylnaltrexone,65649055102,SUBCUT,1904
1056,Benzonatate,67877010501,PO,1901
1057,Haloperidol,00378032701,PO,1901
1058,PredniSONE,00054873925,PO/NG,1900
1059,Amoxicillin-Clavulanic Acid,66685100202,PO/NG,1897
1060,LaMOTrigine,00093003901,PO/NG,1893
1061,Atorvastatin,68084056401,PO/NG,1886
1062,Rivaroxaban,50458057810,PO/NG,1886
1063,Docusate Sodium,57896042101,PO,1880
1064,Filgrastim,55513054610,SC,1880
1065,Metoprolol,55390007310,IV,1870
