drug,generic_name,pred_1,pred_2,all_pred_2,consistency_2,pred_3,pred_4,all_pred_4,consistency_4,pred_5,pred_6,all_pred_6,consistency_6,pred_7,pred_8,all_pred_8,consistency_8,pred_9,pred_10,all_pred_10,consistency_10
Prochlorperazine,prochlorperazine,prochlorperazine,prochlorperazine,"['prochlorperazine', 'prochlorperazine', 'prochlorperazine', 'prochlorperazine', 'prochlorperazine']",1.0,prochlorperazine,prochlorperazine,"['prochlorperazine', 'prochlorperazine', 'prochlorperazine', 'prochlorperazine', 'prochlorperazine']",1.0,prochlorperazine,prochlorperazine,"['prochlorperazine', 'prochlorperazine', 'prochlorperazine', 'prochlorperazine', 'prochlorperazine']",1.0,prochlorperazine,prochlorperazine,"['prochlorperazine', 'prochlorperazine', 'prochlorperazine', 'prochlorperazine', 'prochlorperazine']",1.0,prochlorperazine,prochlorperazine,"['prochlorperazine', 'prochlorperazine', 'prochlorperazine', 'prochlorperazine', 'prochlorperazine']",1.0
Oxycodone-Acetaminophen,acetaminophen / oxycodone,oxycodone-acetaminoph,oxycodone-acetaminoph,"['oxycodone-acetaminoph', 'oxycodone-acetaminoph', 'oxycodone-acetaminoph', 'oxycodone-acetaminoph', 'oxycodone-acetaminoph']",1.0,oxycodone-acetaminoph,oxycodone-acetaminoph,"['oxycodone-acetaminoph', 'oxycodone-acetaminoph', 'oxycodone-acetaminoph', 'oxycodone-acetaminoph', 'oxycodone-acetaminoph']",1.0,oxycodone-acetaminoph,oxycodone-acetaminoph,"['oxycodone-acetaminoph', 'oxycodone-acetaminoph', 'oxycodone-acetaminoph', 'oxycodone-acetaminoph', 'oxycodone-acetaminoph']",1.0,oxycodone-acetaminoph,oxycodone-acetaminoph,"['oxycodone-acetaminoph', 'oxycodone-acetaminoph', 'oxycodone-acetaminoph', 'oxycodone-acetaminoph', 'oxycodone-acetaminoph']",1.0,oxycodone acetaminophen,oxycodone acetaminophen,"['oxycodone acetaminophen', 'oxycodone acetaminophen', 'oxycodone acetaminophen', 'oxycodone acetaminophen', 'oxycodone acetaminophen']",1.0
Diazepam,diazepam,diazepam,diazepam,"['diazepam', 'diazepam', 'diazepam', 'diazepam', 'diazepam']",1.0,diazepam,diazepam,"['diazepam', 'diazepam', 'diazepam', 'diazepam', 'diazepam']",1.0,diazepam,diazepam,"['diazepam', 'diazepam', 'diazepam', 'diazepam', 'diazepam']",1.0,diazepam,diazepam,"['diazepam', 'diazepam', 'diazepam', 'diazepam', 'diazepam']",1.0,diazepam,diazepam,"['diazepam', 'diazepam', 'diazepam', 'diazepam', 'diazepam']",1.0
Simethicone,simethicone,simethicone,simethicone,"['simethicone', 'simethicone', 'simethicone', 'simethicone', 'simethicone']",1.0,simethicone,simethicone,"['simethicone', 'simethicone', 'simethicone', 'simethicone', 'simethicone']",1.0,simethicone,simethicone,"['simethicone', 'simethicone', 'simethicone', 'simethicone', 'simethicone']",1.0,simethicone,simethicone,"['simethicone', 'simethicone', 'simethicone', 'simethicone', 'simethicone']",1.0,simethicone,simethicone,"['simethicone', 'simethicone', 'simethicone', 'simethicone', 'simethicone']",1.0
PNEUMOcoccal 23-valent polysaccharide vaccine,streptococcus pneumoniae capsular polysaccharide antigen 0.05 mg/ml,pneumococcal polysaccharide,pneumococcal polysaccharide,"['pneumococcal polysaccharide', 'pneumococcal polysaccharide', 'pneumococcal polysaccharide', 'pneumococcal polysaccharide', 'pneumococcal polysaccharide']",1.0,pneumococcal polysaccharide,pneumococcal polysaccharide,"['pneumococcal polysaccharide', 'pneumococcal polysaccharide', 'pneumococcal 23-valent', 'pneumococcal 23-valent', 'pneumococcal polysaccharide']",0.6,pneumococcal 23-valent,pneumococcal polysaccharide,"['pneumococcal polysaccharide', 'pneumococcal polysaccharide', 'pneumococcal 23-valent', 'pneumococcal 23-valent', 'pneumococcal polysaccharide']",0.6,pneumococcal polysaccharide,pneumococcal 23-valent,"['pneumococcal 23-valent', 'pneumococcal polysaccharide', 'pneumococcal 23-valent', 'pneumococcal 23-valent', 'pneumococcal 23-valent']",0.8,pneumococcal 23-valent,pneumococcal 23-valent,"['pneumococcal 23-valent', 'pneumococcal 23-valent', 'pneumococcal 23-valent', 'pneumococcal 23-valent', 'pneumococcal 23-valent']",1.0
traZODONE,trazodone,trazodone,trazodone,"['trazodone', 'trazodone', 'trazodone', 'trazodone', 'trazodone']",1.0,trazodone,trazodone,"['trazodone', 'trazodone', 'trazodone', 'trazodone', 'trazodone']",1.0,trazodone,trazodone,"['trazodone', 'trazodone', 'trazodone', 'trazodone', 'trazodone']",1.0,trazodone,trazodone,"['trazodone', 'trazodone', 'trazodone', 'trazodone', 'trazodone']",1.0,trazodone,trazodone,"['trazodone', 'trazodone', 'trazodone', 'trazodone', 'trazodone']",1.0
Citalopram,citalopram,citalopram,citalopram,"['citalopram', 'citalopram', 'citalopram', 'citalopram', 'citalopram']",1.0,citalopram,citalopram,"['citalopram', 'citalopram', 'citalopram', 'citalopram', 'citalopram']",1.0,citalopram,citalopram,"['citalopram', 'citalopram', 'citalopram', 'citalopram', 'citalopram']",1.0,citalopram,citalopram,"['citalopram', 'citalopram', 'citalopram', 'citalopram', 'citalopram']",1.0,citalopram,citalopram,"['citalopram', 'citalopram', 'citalopram', 'citalopram', 'citalopram']",1.0
Morphine Sulfate,morphine,morphine,morphine,"['morphine', 'morphine', 'morphine', 'morphine', 'morphine']",1.0,morphine,morphine,"['morphine', 'morphine', 'morphine', 'morphine', 'morphine']",1.0,morphine,morphine,"['morphine', 'morphine', 'morphine', 'morphine', 'morphine']",1.0,morphine,morphine,"['morphine', 'morphine', 'morphine', 'morphine', 'morphine']",1.0,morphine,morphine,"['morphine', 'morphine', 'morphine', 'morphine', 'morphine']",1.0
Neomycin-Polymyxin-Bacitracin,bacitracin / neomycin / polymyxin B,neomycin-polymyxin-b,neomycin-polymyxin-b,"['neomycin-polymyxin-b', 'neomycin-polymyxin-b', 'neomycin-polymyxin-b', 'neomycin-polymyxin-b', 'neomycin-polymyxin-b']",1.0,neomycin-polymyxin-b,neomycin-polymyxin-b,"['neomycin-polymyxin-b', 'neomycin-polymyxin-b', 'neomycin-polymyxin-b', 'neomycin-polymyxin-b', 'neomycin-polymyxin-b']",1.0,neomycin-polymyxin-b,neomycin-polymyxin-b,"['neomycin-polymyxin-b', 'neomycin-polymyxin-b', 'neomycin-polymyxin-b', 'neomycin-polymyxin-b', 'neomycin-polymyxin-b']",1.0,neomycin-polymyxin-b,neomycin-polymyxin-b,"['neomycin-polymyxin-b', 'neomycin-polymyxin-b', 'neomycin-polymyxin-b', 'neomycin-polymyxin-b', 'neomycin-polymyxin-b']",1.0,neomycin polymyxin b bac,neomycin polymyxin b bac,"['neomycin-polymyxin-b', 'neomycin polymyxin b bac', 'neomycin polymyxin b bac', 'neomycin-polymyxin-b', 'neomycin polymyxin b bac']",0.6
Sarna Lotion,camphor 5 mg/ml / menthol 5 mg/ml,camphor,camphor,"['camphor', 'camphor', 'camphor', 'camphor', 'camphor']",1.0,camphor,camphor,"['camphor', 'camphor', 'camphor', 'camphor', 'camphor']",1.0,camphor,camphor,"['camphor', 'camphor', 'camphor', 'camphor', 'camphor']",1.0,sarna,sarna,"['sarna', 'sarna', 'sarna', 'sarna', 'sarna']",1.0,camphor,camphor,"['camphor', 'camphor', 'camphor', 'camphor', 'camphor']",1.0
0.9% Sodium Chloride,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0
Albumin 25% (12.5g / 50mL),albumin 250 mg/ml,albumin,albumin,"['albumin', 'albumin', 'albumin', 'albumin', 'albumin']",1.0,albumin,albumin,"['albumin', 'albumin', 'albumin', 'albumin', 'albumin']",1.0,albumin,albumin,"['albumin', 'albumin', 'albumin', 'albumin', 'albumin']",1.0,albumin,albumin,"['albumin', 'albumin', 'albumin', 'albumin', 'albumin']",1.0,albumin,albumin,"['albumin', 'albumin', 'albumin', 'albumin', 'albumin']",1.0
Hydrochlorothiazide,hydrochlorothiazide,hydrochlorothiazide,hydrochlorothiazide,"['hydrochlorothiazide', 'hydrochlorothiazide', 'hydrochlorothiazide', 'hydrochlorothiazide', 'hydrochlorothiazide']",1.0,hydrochlorothiazide,hydrochlorothiazide,"['hydrochlorothiazide', 'hydrochlorothiazide', 'hydrochlorothiazide', 'hydrochlorothiazide', 'hydrochlorothiazide']",1.0,hydrochlorothiazide,hydrochlorothiazide,"['hydrochlorothiazide', 'hydrochlorothiazide', 'hydrochlorothiazide', 'hydrochlorothiazide', 'hydrochlorothiazide']",1.0,hydrochlorothiazide,hydrochlorothiazide,"['hydrochlorothiazide', 'hydrochlorothiazide', 'hydrochlorothiazide', 'hydrochlorothiazide', 'hydrochlorothiazide']",1.0,hydrochlorothiazide,hydrochlorothiazide,"['hydrochlorothiazide', 'hydrochlorothiazide', 'hydrochlorothiazide', 'hydrochlorothiazide', 'hydrochlorothiazide']",1.0
Heparin Sodium,heparin,heparin,heparin,"['heparin', 'heparin', 'heparin', 'heparin', 'heparin']",1.0,heparin,heparin,"['heparin', 'heparin', 'heparin', 'heparin', 'heparin']",1.0,heparin,heparin,"['heparin', 'heparin', 'heparin', 'heparin', 'heparin']",1.0,heparin,heparin,"['heparin', 'heparin', 'heparin', 'heparin', 'heparin']",1.0,heparin,heparin,"['heparin', 'heparin', 'heparin', 'heparin', 'heparin']",1.0
Milk of Magnesia,magnesium sulfate,magnesium hydroxide,magnesium hydroxide,"['magnesium hydroxide', 'magnesium hydroxide', 'magnesium hydroxide', 'magnesium hydroxide', 'magnesium hydroxide']",1.0,magnesium hydroxide,magnesium hydroxide,"['magnesium hydroxide', 'magnesium hydroxide', 'magnesium hydroxide', 'magnesium hydroxide', 'magnesium hydroxide']",1.0,magnesium hydroxide,magnesium hydroxide,"['magnesium hydroxide', 'magnesium hydroxide', 'magnesium hydroxide', 'magnesium hydroxide', 'magnesium hydroxide']",1.0,magnesium hydroxide,magnesium hydroxide,"['magnesium hydroxide', 'magnesium hydroxide', 'magnesium hydroxide', 'magnesium hydroxide', 'magnesium hydroxide']",1.0,magnesium hydroxide,magnesium hydroxide,"['magnesium hydroxide', 'magnesium hydroxide', 'magnesium hydroxide', 'magnesium hydroxide', 'magnesium hydroxide']",1.0
Lidocaine 5% Patch,lidocaine 0.05 mg/mg,lidocaine,lidocaine,"['lidocaine', 'lidocaine', 'lidocaine', 'lidocaine', 'lidocaine']",1.0,lidocaine,lidocaine,"['lidocaine', 'lidocaine', 'lidocaine', 'lidocaine', 'lidocaine']",1.0,lidocaine,lidocaine,"['lidocaine', 'lidocaine', 'lidocaine', 'lidocaine', 'lidocaine']",1.0,lidocaine,lidocaine,"['lidocaine', 'lidocaine', 'lidocaine', 'lidocaine', 'lidocaine']",1.0,lidocaine,lidocaine,"['lidocaine', 'lidocaine', 'lidocaine', 'lidocaine', 'lidocaine']",1.0
Acetaminophen,acetaminophen,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0
Fluticasone Propionate 110mcg,fluticasone,fluticasone propionate,fluticasone propionate,"['fluticasone propionate', 'fluticasone propionate', 'fluticasone propionate', 'fluticasone propionate', 'fluticasone propionate']",1.0,fluticasone propionate,fluticasone propionate,"['fluticasone propionate', 'fluticasone propionate', 'fluticasone propionate', 'fluticasone propionate', 'fluticasone propionate']",1.0,fluticasone propionate,fluticasone propionate,"['fluticasone propionate', 'fluticasone propionate', 'fluticasone propionate', 'fluticasone propionate', 'fluticasone propionate']",1.0,fluticasone propionate,fluticasone propionate,"['fluticasone propionate', 'fluticasone propionate', 'fluticasone propionate', 'fluticasone propionate', 'fluticasone propionate']",1.0,fluticasone propionate,fluticasone propionate,"['fluticasone propionate', 'fluticasone propionate', 'fluticasone propionate', 'fluticasone propionate', 'fluticasone propionate']",1.0
HYDROmorphone (Dilaudid),hydromorphone,hydrocodone,hydrocodone,"['hydrocodone', 'hydrocodone', 'hydrocodone', 'hydrocodone', 'hydrocodone']",1.0,hydrocodone is not present in the,hydrocodone is not present in the,"['hydrocodone is not present in the', 'hydrocodone is not present in the', 'hydrocodone is not present in the', 'hydrocodone is not present in the', 'hydrocodone is not present in the']",1.0,hydrocodone,hydrocodone,"['hydrocodone', 'hydrocodone', 'hydrocodone', 'hydrocodone', 'hydrocodone']",1.0,hydrocodone -> hydrocodone,hydrocodone -> hydrocodone,"['hydrocodone -> hydrocodone', 'hydrocodone -> hydrocodone', 'hydrocodone -> hydrocodone', 'hydrocodone -> hydrocodone', 'hydrocodone -> hydrocodone']",1.0,hydrocodone is incorrect. the correct,hydrocodone is not present in the,"['hydrocodone is not present in the', 'hydrocodone is not present in the', 'hydrocodone is not present in the', 'hydrocodone is not present in the', 'hydrocodone is not present in the']",1.0
Metoprolol Tartrate,metoprolol tartrate,metoprolol,metoprolol,"['metoprolol', 'metoprolol', 'metoprolol', 'metoprolol', 'metoprolol']",1.0,metoprolol tartrate,metoprolol tartrate,"['metoprolol tartrate', 'metoprolol tartrate', 'metoprolol tartrate', 'metoprolol tartrate', 'metoprolol tartrate']",1.0,metoprolol tartrate,metoprolol tartrate,"['metoprolol tartrate', 'metoprolol tartrate', 'metoprolol tartrate', 'metoprolol tartrate', 'metoprolol tartrate']",1.0,metoprolol,metoprolol,"['metoprolol', 'metoprolol', 'metoprolol', 'metoprolol', 'metoprolol']",1.0,metoprolol,metoprolol,"['metoprolol', 'metoprolol', 'metoprolol', 'metoprolol', 'metoprolol']",1.0
Gabapentin,gabapentin,gabapentin,gabapentin,"['gabapentin', 'gabapentin', 'gabapentin', 'gabapentin', 'gabapentin']",1.0,gabapentin,gabapentin,"['gabapentin', 'gabapentin', 'gabapentin', 'gabapentin', 'gabapentin']",1.0,gabapentin,gabapentin,"['gabapentin', 'gabapentin', 'gabapentin', 'gabapentin', 'gabapentin']",1.0,gabapentin,gabapentin,"['gabapentin', 'gabapentin', 'gabapentin', 'gabapentin', 'gabapentin']",1.0,gabapentin,gabapentin,"['gabapentin', 'gabapentin', 'gabapentin', 'gabapentin', 'gabapentin']",1.0
Influenza Vaccine Quadrivalent,influenza virus vaccine,influenza vaccine,influenza vaccine,"['influenza vaccine', 'influenza vaccine', 'influenza vaccine', 'influenza vaccine', 'influenza vaccine']",1.0,influenza vaccine,influenza vaccine,"['influenza vaccine', 'influenza vaccine', 'influenza vaccine', 'influenza vaccine', 'influenza vaccine']",1.0,influenza vaccine,influenza vaccine,"['influenza vaccine', 'influenza vaccine', 'influenza vaccine', 'influenza vaccine', 'influenza vaccine']",1.0,influenza vaccine,influenza vaccine,"['influenza vaccine', 'influenza vaccine', 'influenza vaccine', 'influenza vaccine', 'influenza vaccine']",1.0,influenza vaccine,influenza vaccine,"['influenza vaccine', 'influenza vaccine', 'influenza vaccine', 'influenza vaccine', 'influenza vaccine']",1.0
Acetaminophen,acetaminophen,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0
Albuterol 0.083% Neb Soln,albuterol 0.83 mg/ml,albuterol,albuterol,"['albuterol', 'albuterol', 'albuterol', 'albuterol', 'albuterol']",1.0,albuterol,albuterol,"['albuterol', 'albuterol', 'albuterol', 'albuterol', 'albuterol']",1.0,albuterol,albuterol,"['albuterol', 'albuterol', 'albuterol', 'albuterol', 'albuterol']",1.0,albuterol,albuterol,"['albuterol', 'albuterol', 'albuterol', 'albuterol', 'albuterol']",1.0,albuterol,albuterol,"['albuterol', 'albuterol', 'albuterol', 'albuterol', 'albuterol']",1.0
Simvastatin,simvastatin,simvastatin,simvastatin,"['simvastatin', 'simvastatin', 'simvastatin', 'simvastatin', 'simvastatin']",1.0,simvastatin,simvastatin,"['simvastatin', 'simvastatin', 'simvastatin', 'simvastatin', 'simvastatin']",1.0,simvastatin,simvastatin,"['simvastatin', 'simvastatin', 'simvastatin', 'simvastatin', 'simvastatin']",1.0,simvastatin,simvastatin,"['simvastatin', 'simvastatin', 'simvastatin', 'simvastatin', 'simvastatin']",1.0,simvastatin,simvastatin,"['simvastatin', 'simvastatin', 'simvastatin', 'simvastatin', 'simvastatin']",1.0
Sodium Phosphate,sodium phosphate,phosphate,phosphate,"['phosphate', 'phosphate', 'phosphate', 'phosphate', 'phosphate']",1.0,sodium phosphate,sodium phosphate,"['sodium phosphate', 'sodium phosphate', 'sodium phosphate', 'sodium phosphate', 'sodium phosphate']",1.0,phosphate,phosphate,"['phosphate', 'phosphate', 'phosphate', 'phosphate', 'phosphate']",1.0,phosphate,phosphate,"['phosphate', 'phosphate', 'phosphate', 'phosphate', 'phosphate']",1.0,phosphate,phosphate,"['phosphate', 'phosphate', 'phosphate', 'phosphate', 'phosphate']",1.0
Influenza Vaccine Quadrivalent,influenza virus vaccine,influenza vaccine,influenza vaccine,"['influenza vaccine', 'influenza vaccine', 'influenza vaccine', 'influenza vaccine', 'influenza vaccine']",1.0,influenza vaccine,influenza vaccine,"['influenza vaccine', 'influenza vaccine', 'influenza vaccine', 'influenza vaccine', 'influenza vaccine']",1.0,influenza vaccine,influenza vaccine,"['influenza vaccine', 'influenza vaccine', 'influenza vaccine', 'influenza vaccine', 'influenza vaccine']",1.0,influenza vaccine,influenza vaccine,"['influenza vaccine', 'influenza vaccine', 'influenza vaccine', 'influenza vaccine', 'influenza vaccine']",1.0,influenza vaccine,influenza vaccine,"['influenza vaccine', 'influenza vaccine', 'influenza vaccine', 'influenza vaccine', 'influenza vaccine']",1.0
Furosemide,furosemide,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0
Thiamine,thiamine,thiamine,thiamine,"['thiamine', 'thiamine', 'thiamine', 'thiamine', 'thiamine']",1.0,thiamine,thiamine,"['thiamine', 'thiamine', 'thiamine', 'thiamine', 'thiamine']",1.0,thiamine,thiamine,"['thiamine', 'thiamine', 'thiamine', 'thiamine', 'thiamine']",1.0,thiamine,thiamine,"['thiamine', 'thiamine', 'thiamine', 'thiamine', 'thiamine']",1.0,thiamine,thiamine,"['thiamine', 'thiamine', 'thiamine', 'thiamine', 'thiamine']",1.0
HYDROmorphone (Dilaudid),hydromorphone,hydrocodone,hydrocodone,"['hydrocodone', 'hydrocodone', 'hydrocodone', 'hydrocodone', 'hydrocodone']",1.0,hydrocodone is not present in the,hydrocodone is not present in the,"['hydrocodone is not present in the', 'hydrocodone is not present in the', 'hydrocodone is not present in the', 'hydrocodone is not present in the', 'hydrocodone is not present in the']",1.0,hydrocodone,hydrocodone,"['hydrocodone', 'hydrocodone', 'hydrocodone', 'hydrocodone', 'hydrocodone']",1.0,hydrocodone -> hydrocodone,hydrocodone -> hydrocodone,"['hydrocodone -> hydrocodone', 'hydrocodone -> hydrocodone', 'hydrocodone -> hydrocodone', 'hydrocodone -> hydrocodone', 'hydrocodone -> hydrocodone']",1.0,hydrocodone is not present in the,hydrocodone is not present in the,"['hydrocodone is not present in the', 'hydrocodone is not present in the', 'hydrocodone is not present in the', 'hydrocodone is not present in the', 'hydrocodone is not present in the']",1.0
FoLIC Acid,folic acid,folate,folate,"['folate', 'folate', 'folate acid', 'folate acid', 'folate']",0.6,folate,folate,"['folate', 'folate', 'folate', 'folate', 'folate']",1.0,folate,folinic acid,"['folinic acid', 'folinic acid', 'folinic acid', 'folinic acid', 'folinic acid']",1.0,folinic acid,folinic acid,"['folinic acid', 'folinic acid', 'folinic acid', 'folinic acid', 'folinic acid']",1.0,folate,folate,"['folate', 'folate', 'folate', 'folate', 'folate']",1.0
Heparin Flush (100 units/ml),heparin,heparin,heparin,"['heparin', 'heparin', 'heparin', 'heparin', 'heparin']",1.0,heparin,heparin,"['heparin', 'heparin', 'heparin', 'heparin', 'heparin']",1.0,heparin,heparin,"['heparin', 'heparin', 'heparin', 'heparin', 'heparin']",1.0,heparin,heparin,"['heparin', 'heparin', 'heparin', 'heparin', 'heparin']",1.0,heparin,heparin,"['heparin', 'heparin', 'heparin', 'heparin', 'heparin']",1.0
MetRONIDAZOLE (FLagyl),metronidazole,metronidazole,metronidazole,"['metronidazole', 'metronidazole', 'metronidazole', 'metronidazole', 'metronidazole']",1.0,metronidazole,metronidazole,"['metronidazole', 'metronidazole', 'metronidazole', 'metronidazole', 'metronidazole']",1.0,metronidazole,metronidazole,"['metronidazole', 'metronidazole', 'metronidazole', 'metronidazole', 'metronidazole']",1.0,metronidazole,metronidazole,"['metronidazole', 'metronidazole', 'metronidazole', 'metronidazole', 'metronidazole']",1.0,metronidazole,metronidazole,"['metronidazole', 'metronidazole', 'metronidazole', 'metronidazole', 'metronidazole']",1.0
Influenza Virus Vaccine,influenza virus vaccine,influenza vaccine,influenza vaccine,"['influenza vaccine', 'influenza vaccine', 'influenza vaccine', 'influenza vaccine', 'influenza vaccine']",1.0,"influenza virus vaccine is not a drug,","influenza virus vaccine is not a drug,","['influenza virus vaccine is not a drug,', 'influenza virus vaccine is not a drug,', 'influenza virus vaccine is not a drug,', 'influenza virus vaccine is not a drug,', 'influenza virus vaccine is not a drug,']",1.0,influenza virus vaccine,"influenza virus vaccine is not a drug,","['influenza virus vaccine is not a drug,', 'influenza virus vaccine is not a drug,', 'influenza virus vaccine is not a drug,', 'influenza virus vaccine is not a drug,', 'influenza virus vaccine is not a drug,']",1.0,influenza virus vaccine,influenza virus vaccine,"['influenza virus vaccine', 'influenza virus vaccine', 'influenza virus vaccine', 'influenza virus vaccine', 'influenza virus vaccine']",1.0,influenza virus vaccine,influenza virus vaccine,"['influenza virus vaccine', 'influenza virus vaccine', 'influenza virus vaccine', 'influenza virus vaccine', 'influenza virus vaccine']",1.0
